Data,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
06/08/2023 19:40:01,-1.11,2.42,-0.04,-0.03,-0.02,-0.01
06/08/2023 19:40:01,-1.01,2.72,0.21,-0.02,0.04,-0.02
06/08/2023 19:40:02,-0.10,2.31,-0.23,0.02,-0.04,-0.01
06/08/2023 19:40:02,-0.96,2.68,0.01,-0.01,0.08,-0.02
06/08/2023 19:40:03,-0.88,2.81,-0.2,-0.02,-0.01,-0.01
06/08/2023 19:40:03,-0.91,2.83,-0.04,-0.01,0,-0.01
06/08/2023 19:40:04,-1.24,2.97,0.18,0,-0.04,-0.01
06/08/2023 19:40:04,-0.95,2.85,-0.6,-0.02,0.02,-0.02
06/08/2023 19:40:05,-0.44,2.86,0.23,0.01,-0.09,0
06/08/2023 19:40:05,-1.07,2.04,-0.24,-0.03,-0.02,-0.02
06/08/2023 19:40:06,-0.65,1.73,-0.08,-0.01,0.08,-0.02
06/08/2023 19:40:06,-0.76,1.57,0.38,0.01,0.04,-0.01
06/08/2023 19:40:07,-0.65,1.02,0.19,-0.01,0.01,-0.02
06/08/2023 19:40:07,-0.54,0.71,0.56,0.02,0.01,-0.02
06/08/2023 19:40:08,-0.87,0.25,0.36,-0.03,0.02,-0.04
06/08/2023 19:40:08,-0.73,0.24,0.27,-0.01,0.01,-0.02
06/08/2023 19:40:09,-0.71,0.57,0.56,-0.01,0.02,-0.03
06/08/2023 19:40:09,-0.82,0.3,0.63,0,0.03,-0.03
06/08/2023 19:40:10,-0.88,1.85,0.03,0.01,0.01,-0.02
06/08/2023 19:40:10,-0.36,2.49,0.17,0,-0.04,-0.11
06/08/2023 19:40:11, 1.19,2.16,0.15,0.01,-0.05,-0.33
06/08/2023 19:40:11, 2.26,2.09,0.3,0,-0.08,-0.51
06/08/2023 19:40:12, 2.80,2.35,0.59,0,-0.09,-0.6
06/08/2023 19:40:12, 2.60,3.69,0.53,0.03,-0.18,-0.59
06/08/2023 19:40:13, 1.49,3.38,-0.36,-0.02,-0.02,-0.43
06/08/2023 19:40:13, 0.63,4.13,1.54,0.09,0.02,-0.17
06/08/2023 19:40:14, 0.88,3.39,-0.68,0,-0.02,-0.07
06/08/2023 19:40:14, 0.06,3.44,-0.62,0,-0.03,-0.03
06/08/2023 19:40:15,-0.43,3.3,-0.11,0,-0.02,-0.04
06/08/2023 19:40:15,-0.18,3.3,0.03,0,0.07,-0.03
06/08/2023 19:40:16,-0.33,3.22,-0.17,0.02,0.02,-0.02
06/08/2023 19:40:16,-0.43,2.33,0.23,-0.02,0.03,-0.02
06/08/2023 19:40:17,-0.56,1.86,0.23,-0.01,0.01,-0.02
06/08/2023 19:40:17,-0.40,1.02,0.22,-0.02,0.03,-0.02
06/08/2023 19:40:18,-0.19,0.77,0.56,-0.01,0.08,-0.05
06/08/2023 19:40:18,-0.40,1.19,0.4,0.02,-0.03,-0.04
06/08/2023 19:40:19,-0.45,1.32,-0.11,-0.04,0.04,-0.04
06/08/2023 19:40:19,-0.46,1.73,0.05,-0.03,0.03,-0.02
06/08/2023 19:40:20,-0.68,2,0.17,-0.05,0.05,0.02
06/08/2023 19:40:20,-0.52,1.51,0.1,-0.01,0.04,0.03
06/08/2023 19:40:21,-0.84,1.69,0.21,-0.01,0.02,0.03
06/08/2023 19:40:21,-0.71,2.34,0.4,0.02,0,0.02
06/08/2023 19:40:22,-0.39,1.44,0.02,-0.02,0.02,-0.01
06/08/2023 19:40:22,-0.25,1.74,0.81,0,0.03,-0.04
06/08/2023 19:40:23,-0.47,1.19,0.38,0.01,0.03,-0.03
06/08/2023 19:40:23,-0.65,2.52,0.24,0.01,0.02,-0.04
06/08/2023 19:40:24,-0.14,3.16,-0.47,0.02,0,-0.03
06/08/2023 19:40:24,-0.80,3.01,-0.48,-0.09,0.02,0.01
06/08/2023 19:40:25,-0.86,3.86,0.63,-0.08,0.07,0.01
06/08/2023 19:40:25,-0.56,4.44,1.26,-0.01,0.02,-0.01
06/08/2023 19:40:26,-0.14,4.37,0.47,0.06,-0.02,-0.04
06/08/2023 19:40:26,-0.04,4.5,0.13,0.01,0.07,-0.06
06/08/2023 19:40:27,-0.33,3.57,-1.35,0.02,0.01,-0.04
06/08/2023 19:40:27,-0.44,2.65,0.57,-0.02,0.03,-0.02
06/08/2023 19:40:28,-0.53,2.63,0.22,0.01,0.02,-0.02
06/08/2023 19:40:28,-0.47,3.33,-0.43,-0.09,0.06,-0.02
06/08/2023 19:40:29,-0.05,3.71,-0.78,-0.01,-0.04,-0.02
06/08/2023 19:40:29,-0.13,3.78,-0.09,0.03,0.03,-0.03
06/08/2023 19:40:30,-0.62,3.34,-1.21,-0.08,0,-0.02
06/08/2023 19:40:30, 0.13,3.47,0.41,0.09,0.14,-0.03
06/08/2023 19:40:31,-0.91,3.29,-0.67,0.03,-0.13,0.01
06/08/2023 19:40:31,-1.16,2.58,0.35,-0.01,0.04,-0.01
06/08/2023 19:40:32, 0.66,2.2,0.21,-0.07,0.08,-0.06
06/08/2023 19:40:32,-0.54,2.25,0.1,-0.04,0.01,-0.03
06/08/2023 19:40:33,-0.62,2.72,1.65,0.02,-0.1,-0.03
06/08/2023 19:40:33,-1.37,1.76,0.63,-0.01,0,0.03
06/08/2023 19:40:34,-0.90,1.37,-0.11,0,0.03,0
06/08/2023 19:40:34,-0.33,0.88,0.33,-0.02,0.09,-0.03
06/08/2023 19:40:35,-0.62,1.2,1.42,0.03,0.17,-0.02
06/08/2023 19:40:35,-1.23,0.04,-0.67,0.02,-0.09,0
06/08/2023 19:40:36,-0.49,-0.21,2.08,-0.03,-0.01,0.03
06/08/2023 19:40:36,-0.98,2.27,-0.95,-0.02,-0.16,-0.01
06/08/2023 19:40:37,-1.02,1.64,-1.02,-0.11,-0.03,0
06/08/2023 19:40:37,-0.62,4.09,2.61,-0.01,0.02,-0.02
06/08/2023 19:40:38, 0.06,2.46,0.12,0.09,0.09,-0.02
06/08/2023 19:40:38, 0.35,3.37,-0.58,-0.04,-0.03,0.01
06/08/2023 19:40:39,-0.31,4.11,-1.8,-0.09,-0.04,-0.01
06/08/2023 19:40:39,-1.53,3.08,-1.85,0.19,0.02,-0.06
06/08/2023 19:40:40,-0.93,3.13,-2.53,-0.03,-0.07,-0.01
06/08/2023 19:40:40,-0.12,2.49,0.42,0.15,-0.01,-0.03
06/08/2023 19:40:41,-0.96,4.04,-0.08,-0.37,0.06,-0.08
06/08/2023 19:40:41,-0.27,4.37,0.47,0.17,-0.04,0
06/08/2023 19:40:42, 0.08,3.16,-0.93,0.06,0.04,0
06/08/2023 19:40:42,-0.59,3.42,-1.79,-0.04,-0.02,0
06/08/2023 19:40:43,-0.66,3.67,-0.78,-0.01,-0.02,-0.02
06/08/2023 19:40:43,-0.39,4.13,-0.5,-0.01,-0.01,-0.02
06/08/2023 19:40:44,-0.19,3.7,-0.76,0.01,0.01,-0.01
06/08/2023 19:40:44,-0.12,3.68,-0.37,-0.03,0,-0.02
06/08/2023 19:40:45,-0.34,2.5,-0.04,-0.01,0,-0.03
06/08/2023 19:40:45,-0.30,2.21,-0.18,0.03,0.07,-0.02
06/08/2023 19:40:46,-0.35,1.81,-0.15,0.03,-0.01,0.01
06/08/2023 19:40:46,-0.23,2.3,0.11,0.03,0.08,-0.02
06/08/2023 19:40:47,-0.35,1.32,-0.18,-0.05,-0.02,-0.02
06/08/2023 19:40:47,-0.37,0.62,-0.06,-0.02,0.04,-0.02
06/08/2023 19:40:48,-0.57,0.87,0.29,-0.03,0.03,-0.02
06/08/2023 19:40:48,-0.49,0.79,0.97,-0.03,0.08,-0.04
06/08/2023 19:40:49,-0.92,1.78,0.19,-0.02,0.04,-0.01
06/08/2023 19:40:49,-0.60,4.16,1.01,0,0.03,-0.01
06/08/2023 19:40:50,-1.05,3.99,0.01,-0.03,-0.02,0
06/08/2023 19:40:50,-0.50,4.25,-0.09,-0.06,0.04,0.01
06/08/2023 19:40:51, 0.44,3.89,-0.47,0.02,0.12,-0.03
06/08/2023 19:40:51,-0.53,3.79,-0.66,-0.01,-0.01,-0.02
06/08/2023 19:40:52, 0.09,2.51,0.51,0,-0.01,-0.05
06/08/2023 19:40:52,-0.44,1.95,0.3,0.03,-0.02,-0.04
06/08/2023 19:40:53,-0.45,1.99,0.16,0.03,0.06,-0.03
06/08/2023 19:40:53,-0.79,1.73,-0.04,-0.01,0.05,0
06/08/2023 19:40:54,-0.39,1.89,0.52,-0.01,0.05,-0.01
06/08/2023 19:40:54,-0.72,1.95,0.42,0.02,-0.04,0.01
06/08/2023 19:40:55,-0.45,2.29,0.18,0,0,0.01
06/08/2023 19:40:55,-0.57,2.48,0.09,0,0.04,0
06/08/2023 19:40:56,-0.38,1.83,0.02,-0.01,0.01,-0.02
06/08/2023 19:40:56,-0.61,1.78,0.74,-0.01,0.01,-0.02
06/08/2023 19:40:57,-0.21,2.1,0.15,0.09,0.02,-0.03
06/08/2023 19:40:57,-0.45,2.31,-0.51,-0.06,-0.03,-0.03
06/08/2023 19:40:58,-0.39,3.02,-0.31,0.04,0.01,-0.01
06/08/2023 19:40:58,-0.61,2.92,0.49,-0.01,0.04,-0.01
06/08/2023 19:40:59,-0.01,3.24,-0.26,-0.06,0.07,-0.03
06/08/2023 19:40:59,-1.12,2.23,-0.04,0.01,0.02,-0.02
06/08/2023 19:41:00, 0.10,2.61,-0.51,-0.01,0,-0.03
06/08/2023 19:41:00, 0.22,2.64,-0.58,0,0.06,-0.04
06/08/2023 19:41:01,-0.10,2.67,-0.41,0.02,0.08,-0.03
06/08/2023 19:41:01,-0.22,2.83,-0.02,0.01,0.03,-0.02
06/08/2023 19:41:02,-0.39,2.8,0.09,-0.01,0.04,-0.02
06/08/2023 19:41:02,-0.41,2.75,0.12,0,0.01,-0.02
06/08/2023 19:41:03,-0.41,2.86,-0.08,0.01,0.02,-0.01
06/08/2023 19:41:03,-0.13,2.58,0.08,-0.01,0.03,-0.01
06/08/2023 19:41:04,-0.24,2.46,0.1,-0.02,0.04,-0.01
06/08/2023 19:41:04, 0.11,2.41,-0.01,-0.01,0.01,-0.01
06/08/2023 19:41:05,-0.19,2.23,0.11,-0.03,-0.01,0
06/08/2023 19:41:05,-0.34,2.2,0.38,-0.01,0.01,-0.01
06/08/2023 19:41:06,-0.08,2.13,-0.05,0,0,-0.02
06/08/2023 19:41:06, 0.04,2.24,0,0,0,-0.02
06/08/2023 19:41:07,-0.11,2.27,0.25,0,0.02,-0.02
06/08/2023 19:41:07,-0.06,2.3,0.02,-0.01,0.02,-0.02
06/08/2023 19:41:08,-0.09,2.28,0.16,-0.01,0.04,-0.02
06/08/2023 19:41:08,-0.14,2.32,0.13,-0.01,0.01,-0.02
06/08/2023 19:41:09,-0.15,2.39,0.12,-0.01,0.02,-0.02
06/08/2023 19:41:09,-0.11,2.32,0.09,-0.01,0.02,-0.02
06/08/2023 19:41:10,-0.13,3.04,-0.04,0.01,0.03,-0.02
06/08/2023 19:41:10,-0.08,2.92,-0.13,0,0.03,-0.02
06/08/2023 19:41:11,-0.07,2.89,-0.08,-0.01,0.02,-0.02
06/08/2023 19:41:11,-0.06,2.92,-0.08,-0.01,0.02,-0.02
06/08/2023 19:41:12,-0.08,2.93,-0.07,-0.01,0.02,-0.02
06/08/2023 19:41:12,-0.10,2.94,-0.07,-0.01,0.02,-0.02
06/08/2023 19:41:13,-0.12,2.94,-0.05,-0.01,0.02,-0.02
06/08/2023 19:41:13,-0.09,2.94,-0.07,0,0.02,-0.02
06/08/2023 19:41:14,-0.13,2.95,-0.05,-0.01,0.02,-0.02
06/08/2023 19:41:14,-0.11,2.94,-0.03,-0.01,0.02,-0.02
06/08/2023 19:41:15,-0.09,2.95,-0.07,-0.01,0.02,-0.02
